,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
20079,FRA,Direct,0,0,No Deposit,0,Contract,A,0,2,0
6658,GBR,Groups,0,0,No Deposit,0,Transient-Party,E,0,0,1
6580,USA,Online TA,0,1,No Deposit,0,Transient-Party,D,0,3,0
79669,ARG,Online TA,0,0,No Deposit,0,Transient-Party,E,0,0,0
11709,PRT,Groups,0,0,Non Refund,75,Transient,A,0,0,1
2088,DEU,Offline TA/TO,0,0,No Deposit,0,Group,D,0,0,0
35438,SRB,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
46398,RUS,Direct,0,0,No Deposit,0,Transient,D,1,0,0
1608,ESP,Online TA,0,2,No Deposit,0,Transient,D,0,2,0
18617,CHE,Online TA,0,0,No Deposit,0,Transient,B,0,0,0
9253,CHN,Direct,0,0,No Deposit,0,Transient,A,0,2,0
13628,USA,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,0
2721,FRA,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,3,0
75613,BLR,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
39950,ITA,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
28897,BEL,Online TA,0,0,No Deposit,0,Contract,D,0,2,0
57023,PRT,Complementary,0,3,No Deposit,0,Transient,A,0,0,1
664,PRT,Direct,0,0,No Deposit,0,Transient,A,0,1,0
52693,ESP,Online TA,0,2,No Deposit,0,Transient,A,1,0,0
54450,FRA,Groups,0,0,Non Refund,0,Transient-Party,A,0,0,0
452,PRT,Complementary,0,2,No Deposit,0,Transient,E,1,2,0
8461,PRT,Complementary,0,1,No Deposit,0,Transient,A,1,3,0
10927,CHN,Direct,0,0,No Deposit,0,Transient,E,0,0,0
13248,FRA,Offline TA/TO,0,0,No Deposit,0,Transient,A,1,0,0
64522,BRA,Online TA,0,2,No Deposit,0,Transient,E,0,2,1
19488,PRT,Direct,0,2,No Deposit,0,Transient,G,1,1,0
30916,BRA,Direct,0,1,No Deposit,0,Transient,C,0,1,0
2009,SGP,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
49653,CHE,Offline TA/TO,0,0,Non Refund,39,Transient,A,0,0,1
55537,BEL,Online TA,0,0,No Deposit,0,Transient,C,0,1,0
73667,CYP,Aviation,0,0,No Deposit,0,Transient,A,0,0,0
16947,FRA,Online TA,0,1,No Deposit,0,Transient,A,1,2,0
56488,PRT,Offline TA/TO,0,1,No Deposit,0,Transient,D,1,1,0
41336,IRL,Direct,0,0,No Deposit,0,Transient-Party,D,0,2,0
1369,DEU,Direct,0,0,No Deposit,0,Transient,A,0,1,0
