,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
0,IRL,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
1,FRA,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
2,PRT,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
3,NLD,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
4,PRT,Online TA,0,2,No Deposit,0,Transient,A,0,2,0
5,ESP,Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
6,PRT,Groups,0,0,Non Refund,0,Transient,A,0,0,1
8,UMI,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
9,PRT,Groups,1,0,Non Refund,0,Contract,A,0,0,1
10,CN,Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
11,PRT,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
12,PRT,Groups,1,0,Non Refund,0,Transient,A,0,0,1
13,FRA,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
14,PRT,Offline TA/TO,0,0,Non Refund,3,Transient,A,0,0,1
15,LUX,Direct,0,0,No Deposit,0,Transient,D,1,0,0
16,BRA,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
17,BEL,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
18,JPN,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
19,DEU,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
20,FRA,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
21,ITA,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
23,PRT,Offline TA/TO,0,0,Non Refund,39,Transient,A,0,0,1
24,PRT,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
25,ESP,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,1,0
26,ESP,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
27,PRT,Offline TA/TO,0,0,Non Refund,0,Transient,A,0,0,1
28,CHE,Online TA,0,2,No Deposit,0,Transient,A,0,2,0
30,GBR,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
31,ESP,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
32,PRT,Offline TA/TO,1,0,No Deposit,0,Transient,A,0,0,1
33,PRT,Direct,0,0,No Deposit,0,Transient,A,0,0,0
35,BEL,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
36,PRT,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,1
37,DEU,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
38,AGO,Online TA,0,0,No Deposit,0,Transient,F,0,1,1
39,PRT,Corporate,0,1,No Deposit,0,Transient-Party,A,0,0,0
40,DEU,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
41,SRB,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
42,PRT,Complementary,0,0,No Deposit,0,Transient,B,0,1,0
43,PRT,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
46,FRA,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
48,ESP,Direct,0,0,No Deposit,0,Transient,E,0,2,0
49,FRA,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
50,BEL,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
51,COL,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
53,IRL,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
55,PRT,Corporate,0,0,Non Refund,0,Transient-Party,E,0,0,1
56,FRA,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
57,FRA,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
58,IRL,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
59,ESP,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
60,GBR,Groups,0,1,No Deposit,0,Transient-Party,D,0,0,0
61,ESP,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
63,FRA,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
64,PRT,Groups,0,2,No Deposit,87,Transient-Party,A,0,0,0
65,IRL,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
66,BEL,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
68,DEU,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
69,BEL,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
70,GBR,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
